Timestamp,Daily Steps,Distance (km),Calories Burned
13/04/24,4776,3.72,238
14/04/24,5337,3.94,232
15/04/24,9597,8.18,544
16/04/24,6842,5.23,296
17/04/24,7156,5.48,309
18/04/24,8234,6.31,356
19/04/24,5928,4.54,256
20/04/24,7453,5.71,322
21/04/24,6124,4.69,265
22/04/24,5891,4.51,255
23/04/24,6652,5.09,289
24/04/24,4526,3.47,197
25/04/24,6928,5.31,374
26/04/24,7234,5.54,313
27/04/24,8456,6.48,366
28/04/24,6234,4.78,270
29/04/24,8360,6.41,361
30/04/24,5851,4.48,253
01/05/24,2129,1.63,92
02/05/24,9220,7.07,403
03/05/24,5039,3.86,218
04/05/24,7407,5.68,319
05/05/24,6845,5.24,296
06/05/24,8242,6.32,356
07/05/24,8674,6.65,379
08/05/24,5945,4.56,258
09/05/24,7123,5.46,308
10/05/24,6534,5.01,283
11/05/24,7845,6.01,339
12/05/24,6675,5.12,386
13/05/24,3324,2.55,142
14/05/24,5234,4.01,226
15/05/24,4567,3.50,198
16/05/24,3975,3.05,171
17/05/24,5678,4.35,246
18/05/24,8328,6.38,364
19/05/24,1634,1.25,70
20/05/24,9943,7.62,527
21/05/24,6703,5.14,289
22/05/24,7234,5.54,313
23/05/24,6543,5.01,283
24/05/24,5987,4.59,259
25/05/24,5323,4.08,229
26/05/24,3498,2.68,151
27/05/24,9339,7.16,402
28/05/24,4388,3.36,188
29/05/24,5333,4.09,233
30/05/24,7374,5.65,319
31/05/24,8411,6.45,365
01/06/24,4803,3.68,210
02/06/24,5452,4.18,234
03/06/24,4764,3.65,205
04/06/24,6463,4.95,281
05/06/24,7071,5.42,309
06/06/24,4819,3.69,207
07/06/24,7526,5.77,325
08/06/24,9708,7.44,421
09/06/24,4856,3.72,211
10/06/24,5119,3.92,223
11/06/24,5410,4.14,234
12/06/24,5488,4.21,251
13/06/24,11023,8.45,481
14/06/24,7659,5.87,329
15/06/24,1797,1.38,78
16/06/24,7136,5.47,421
17/06/24,2313,1.77,107
18/06/24,6234,4.78,270
19/06/24,5590,4.28,241
20/06/24,7404,5.67,332
21/06/24,7237,5.54,314
22/06/24,5678,4.35,246
23/06/24,2982,2.29,127
24/06/24,8577,6.57,371
25/06/24,2061,1.58,88
26/06/24,14690,11.26,636
27/06/24,8234,6.31,356
28/06/24,7453,5.71,322
29/06/24,6234,4.78,270
30/06/24,1065,0.82,45
01/07/24,5678,4.35,246
02/07/24,8222,6.30,353
03/07/24,6143,4.71,270
04/07/24,9234,7.08,399
05/07/24,13100,10.04,571
06/07/24,7845,6.01,339
07/07/24,6534,5.01,283
08/07/24,6960,5.33,299
09/07/24,8780,6.73,387
10/07/24,11417,8.75,494
11/07/24,8234,6.31,356
12/07/24,6543,5.01,283
13/07/24,5750,4.41,253
14/07/24,1464,1.12,63
15/07/24,7017,5.38,305
16/07/24,5871,4.50,254
17/07/24,10035,7.69,433
18/07/24,18058,13.84,786
19/07/24,7031,5.39,302
20/07/24,6534,5.01,283
21/07/24,7845,6.01,339
22/07/24,8888,6.81,385
23/07/24,7795,5.97,343
24/07/24,3603,2.76,154
25/07/24,17910,13.73,968
26/07/24,8052,6.17,348
27/07/24,7234,5.54,313
28/07/24,8456,6.48,366
29/07/24,13607,10.43,587
30/07/24,8234,6.31,356
31/07/24,9064,6.95,394
01/08/24,6534,5.01,283
02/08/24,7123,5.46,308
03/08/24,5027,3.85,221
04/08/24,8234,6.31,356
05/08/24,11060,8.48,477
06/08/24,7536,5.78,323
07/08/24,8456,6.48,366
08/08/24,7234,5.54,313
09/08/24,9403,7.21,405
10/08/24,7845,6.01,339
11/08/24,6534,5.01,283
12/08/24,6676,5.12,287
13/08/24,9078,6.96,392
14/08/24,6374,4.88,279
15/08/24,7232,5.54,313
16/08/24,8218,6.30,358
17/08/24,6534,5.01,283
18/08/24,7591,5.82,324
19/08/24,8706,6.67,375
20/08/24,7454,5.71,320
21/08/24,5987,4.59,262
22/08/24,7048,5.40,307
23/08/24,4106,3.15,175
24/08/24,10029,7.69,432
25/08/24,9175,7.03,402
