Date,Size,Food_Name,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar
03/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
03/04/24,24 gram,"mikako - ayam geprek, 24 gram",132.0,17.0,6.0,2.0,324.0,4.0
04/04/24,2 pcs,"Mie Sedap - Mie Goreng, 2 pcs",820.0,116.0,32.0,16.0,0.0,14.0
04/04/24,1 container,"Sederhana - Nasi Padang, 1 container",664.0,70.0,15.0,5.0,0.0,0.0
04/04/24,0.8 container,"Sederhana - Nasi Padang, 0.8 container",531.0,56.0,12.0,4.0,0.0,0.0
04/04/24,30 gram,"Ayam Goreng Dada - Ayam Goreng Dada, 30 gram",65.0,0.0,3.0,10.0,129.0,0.0
04/04/24,0.7 potong,"Restoran Padang - Telur Dadar, 0.7 potong",305.0,0.0,18.0,5.0,0.0,0.0
04/04/24,35 g,"Indonesian Food - Perkedel, 35 g",86.0,0.0,0.0,0.0,0.0,0.0
05/04/24,120 gram,"Nasi - Nasi putih, 120 gram",180.0,48.0,1.0,4.0,0.0,0.0
05/04/24,25 g,"Generic - Ayam Goreng (Paha), 25 g",87.0,3.0,6.0,5.0,0.0,0.0
05/04/24,0.2 packet,"Indomie - Mi goreng instan, 0.2 packet",70.0,11.0,2.0,2.0,60.0,1.0
05/04/24,0.25 porsi,"Indonesian Food - Capcay, 0.25 porsi",85.0,0.0,0.0,0.0,0.0,0.0
05/04/24,100 gram,"Nasi goreng - Nasi goreng, 100 gram",289.0,22.0,19.0,6.0,0.0,13.0
05/04/24,1 Butir,"Generic - Telur Dadar, 1 Butir",154.0,1.0,9.0,11.0,155.0,0.0
05/04/24,60 g,"Indonesian Food - Kolak Pisang, 60 g",98.0,12.0,5.0,1.0,31.0,4.0
05/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
06/04/24,0.6 container,"Sederhana - Nasi Padang, 0.6 container",398.0,42.0,9.0,3.0,0.0,0.0
06/04/24,40 g,"Generic - Ayam Goreng (Paha), 40 g",138.0,5.0,10.0,7.0,0.0,0.0
06/04/24,100 gr,"Homemade - Perkedel Kentang, 100 gr (1 piece)",190.0,20.0,14.0,7.0,400.0,0.0
06/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
06/04/24,10 tusuk,"Kaki Lima - Sate Kambing, 10 tusuk (1 Porsi)",353.0,0.0,0.0,0.0,0.0,0.0
06/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
07/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
07/04/24,100 gram,"Tempe Goreng - Tempe Goreng, 100 gram",225.0,12.0,15.0,19.0,277.0,0.0
07/04/24,100 g,"Indonesian - Bakwan Goreng, 100 g",228.0,11.0,19.0,3.0,500.0,100.0
07/04/24,2 piece,"Street Food - Tahu Goreng, 2 piece",70.0,3.0,5.0,4.0,4.0,1.0
08/04/24,1 unit,"indomie - mi instan , 1 unit",380.0,54.0,14.0,8.0,1070.0,8.0
08/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
09/04/24,39 gram,"dancow nestle - dancow fortigro coklat, 39 gram",160.0,23.0,6.0,5.0,0.0,18.0
09/04/24,151.5 gram,"nasi - nasi, 151.5 gram",150.0,31.0,5.0,8.0,0.0,0.0
09/04/24,2 Butir,"Generic - Telur Dadar, 2 Butir",308.0,2.0,18.0,22.0,310.0,0.0
09/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
10/04/24,151.5 gram,"nasi - nasi, 151.5 gram",150.0,31.0,5.0,8.0,0.0,0.0
10/04/24,155 gr,"Sarden Abc - Sarden, 155 gr",120.0,4.0,5.0,13.0,270.0,0.0
10/04/24,151.5 gram,"nasi - nasi, 151.5 gram",150.0,31.0,5.0,8.0,0.0,0.0
10/04/24,2 cooked,"Telur - Telur Rebus Dengan Kuning, 2 cooked",144.0,1.0,11.0,13.0,124.0,0.0
10/04/24,151.5 gram,"nasi - nasi, 151.5 gram",150.0,31.0,5.0,8.0,0.0,0.0
10/04/24,1 bungkus,"Indomie Soto - Rasa Soto Mie, 1 bungkus",300.0,46.0,10.0,7.0,0.0,4.0
10/04/24,2 Potong,"Generic - Rendang, 2 Potong (84 gr)",324.0,14.0,14.0,38.0,0.0,0.0
10/04/24,202 gram,"nasi - nasi, 202 gram",200.0,41.0,6.0,10.0,0.0,0.0
13/04/24,202 gram,"nasi - nasi, 202 gram",200.0,41.0,6.0,10.0,0.0,0.0
13/04/24,40 gram,"tempe krezi - tempe goreng, 40 gram",226.0,22.0,14.0,3.0,0.0,0.0
13/04/24,0.8 Porsi,"Generic - Cah Toge / Toge Goreng, 0.8 Porsi (213 gr)",150.0,24.0,4.0,6.0,0.0,0.0
13/04/24,40 gram,"Ayam Goreng Sayap - Ayam Goreng Sayap, 40 gram",84.0,0.0,4.0,12.0,0.0,0.0
13/04/24,2.58 balls,"bakso - bakso, 2.58 balls",97.0,7.0,4.0,9.0,0.0,0.0
13/04/24,20 g,"Indonesian - Bakwan Goreng, 20 g",46.0,2.0,4.0,1.0,100.0,20.0
13/04/24,202 gram,"nasi - nasi, 202 gram",200.0,41.0,6.0,10.0,0.0,0.0
13/04/24,155 gr,"Sarden Abc - Sarden, 155 gr",120.0,4.0,5.0,13.0,270.0,0.0
13/04/24,2 slices,"Sari Roti - Roti Tawar, 2 slices (45gr)",240.0,46.0,3.0,8.0,0.0,0.0
13/04/24,1 unit,"nuttela - selai coklat, 1 unit",80.0,9.0,5.0,1.0,0.0,0.0
14/04/24,160 g,"farggi - chocolate mousse cake, 160 g",570.0,38.0,44.0,6.0,110.0,0.0
14/04/24,252.5 gram,"nasi - nasi, 252.5 gram",250.0,51.0,8.0,13.0,0.0,0.0
14/04/24,20 gram,"Fatsecret - Sayur Lodeh, 20 gram",14.0,1.0,1.0,1.0,41.0,0.0
14/04/24,60 g,"Ayam Goreng - Ayam Goreng, 60 g - 1 ketul",135.0,0.0,0.0,0.0,0.0,0.0
14/04/24,50 g,"Homemade - Dendeng Balado, 50 g",205.0,6.0,13.0,17.0,1107.0,5.0
14/04/24,240 gram,"Sharifah - Nasi Goreng Daging, 240 gram",140.0,24.0,1.0,9.0,0.0,0.0
15/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
15/04/24,10 tusuk,"Madura - Sate Ayam, 10 tusuk",340.0,7.0,22.0,29.0,0.0,3.0
15/04/24,1 porsi,"Fatsecret - Telur Balado, 1 porsi (70 g)",142.0,2.0,12.0,7.0,249.0,2.0
15/04/24,0.4 Porsi,"Generic - Cah Toge / Toge Goreng, 0.4 Porsi (213 gr)",75.0,12.0,2.0,3.0,0.0,0.0
15/04/24,18 gram,"mi instan SAKURA - mi goreng, 18 gram",87.0,11.0,4.0,2.0,0.0,1.0
15/04/24,40 gr,"Orek tempe - Orek tempe, 40 gr",70.0,6.0,3.0,5.0,84.0,2.0
15/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
15/04/24,39 gram,"dancow nestle - dancow fortigro coklat, 39 gram",160.0,23.0,6.0,5.0,0.0,18.0
15/04/24,2 slices,"my roti - roti tawar, 2 slices",230.0,44.0,3.0,7.0,420.0,1.0
15/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
16/04/24,300 gram,"Nasi - Nasi putih, 300 gram",450.0,120.0,2.0,9.0,0.0,0.0
16/04/24,96 gram,"Kfc - Thigh, 96 gram",250.0,7.0,17.0,17.0,730.0,0.0
16/04/24,56 gram,"Kfc - Leg, 56 gram",120.0,3.0,7.0,11.0,0.0,0.0
16/04/24,202 gram,"nasi - nasi, 202 gram",200.0,41.0,6.0,10.0,0.0,0.0
16/04/24,4 pc,"Tempe - Tempe Bacem, 4 pc",312.0,4.0,20.0,32.0,0.0,0.0
16/04/24,60 gr,"Belmeat sosis - Sosis, 60 gr",130.0,3.0,10.0,9.0,0.0,0.0
16/04/24,60 Gram,"Ayam Panggang - Ayam Panggang, 60 Gram",100.0,1.0,4.0,15.0,45.0,1.0
17/04/24,250 gram,"Nasi - Nasi putih, 250 gram",375.0,100.0,1.0,8.0,0.0,0.0
17/04/24,1 Butir,"Generic - Telur Dadar, 1 Butir",154.0,1.0,9.0,11.0,155.0,0.0
17/04/24,0.25 porsi,"Indonesian Food - Capcay, 0.25 porsi",85.0,0.0,0.0,0.0,0.0,0.0
17/04/24,40 gr,"Orek tempe - Orek tempe, 40 gr",70.0,6.0,3.0,5.0,84.0,2.0
17/04/24,100 gr,"Homemade - Perkedel Kentang, 100 gr (1 piece)",190.0,20.0,14.0,7.0,400.0,0.0
17/04/24,130.9 gr,"Padang - Gulai sapi cincang, 130.9 gr",143.0,4.0,6.0,17.0,295.0,2.0
17/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
17/04/24,1 piece,"Malay Style - Ayam Goreng, 1 piece",141.0,0.0,9.0,16.0,228.0,0.0
17/04/24,2 slices,"my roti - roti tawar, 2 slices",230.0,44.0,3.0,7.0,420.0,1.0
17/04/24,1 unit,"nuttela - selai coklat, 1 unit",80.0,9.0,5.0,1.0,0.0,0.0
18/04/24,200 g,"Fatsecret - Nasi Uduk, 200 g",326.0,41.0,16.0,5.0,396.0,2.0
18/04/24,40 gram,"Tempe Goreng - Tempe Goreng, 40 gram",90.0,5.0,6.0,8.0,111.0,0.0
18/04/24,60 gr,"Fatsecret - Tahu, 60 gr",47.0,1.0,3.0,5.0,0.0,0.0
18/04/24,1 Potong,"Generic - Bebek Goreng (Dada), 1 Potong (118 gr)",354.0,6.0,25.0,29.0,0.0,0.0
18/04/24,60 gram,"Ayam Goreng Sayap - Ayam Goreng Sayap, 60 gram",127.0,0.0,5.0,18.0,0.0,0.0
18/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
18/04/24,0.7 Potong,"Generic - Rendang, 0.7 Potong (84 gr)",113.0,5.0,5.0,13.0,0.0,0.0
18/04/24,55 gram,"Ayam kecap (PRF) - Paha bawah, 55 gram",110.0,2.0,5.0,15.0,0.0,0.0
18/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
